AARONCOPLAND,"""A Lincoln Portrait"" composer"
SURETOPLEASE,"""Satisfaction guaranteed"" catchphrase"
SURFACETOAIR,"Missile type"
SURFEDTHENET,"Browsed"
SURFINSAFARI,"The Beach Boys' first hit, #14 in 1962"
SURGEWARRANT,"Energy increase authorization?"
SURPLUSSTORE,"Outlet for leftover merchandise"
SURPLUSTHATS,"Part 3 of the pun"
SURPRISEPART,"Unexpected piece in a chicken order?"
SURPRISEPIES,"Slapstick staples?"
SUSANANTHONY,"B-less figure on a coin"
SUSANHAYWARD,"Also-ran to Vivien Leigh at the ""GWTW"" auditions"
SUSANHAYWARD,"The Lusty Men star"
SUSANNAHOFFS,"Ex-Bangle who hit the Top 40 with ""My Side of the Bed"""
SUSANOSTRICH,"Fox News political analyst with her head in the sand?"
SUSHITINWARE,"Mixed drink #4: Metal chopsticks (vodka, Kahlúa, and light cream)"
SUSPENDPAPER,"Pre-vacation checklist item for a party planner fond of streamers?"
SUTURESELVES,"Inner beings of surgical thread?"
SWALLOWERGAG,"End of remark"
SWALLOWTAILS,"Tolerate a tux?"
SWAMPMONSTER,"Creature from the Black Lagoon, e.g."
SWAMPTHAWING,"Spring occurrence in the wetlands?"
SWAPSSTORIES,"*Engages in some mutual gossip"
SWARMWELCOME,"Reception for a beekeeper?"
SWASHBUCKLER,"Errol Flynn persona"
SWEARIBELONG,"Attest to my membership?"
SWEATBULLETS,"Drip with fear"
SWEATIERVEST,"A waistcoat worn in summer, compared to one worn in winter?"
SWEATINPEACE,"More of a quote by Hyman Rickover"
SWEEPPICKING,"Guitar playing technique"
SWEEPSSTALLS,"*Does a hostler's work"
SWEETADELINE,"""In the evening when I sit alone a-dreaming..."""
SWEETADELINE,"Barbershop quartet standard"
SWEETANDSOUR,"Like some Chinese food"
SWEETASHONEY,"Kindness simile"
SWEETCHARITY,"'60's Neil Simon musical"
SWEETCHARITY,"*""If They Could See Me Now"" musical"
SWEETCHARITY,"1966 musical about a taxi dancer"
SWEETCHARITY,"1966 musical starring Gwen Verdon"
SWEETCHARITY,"1969 Shirley MacLaine musical"
SWEETCHARITY,"1969 movie musical starring Shirley MacLaine"
SWEETCHARITY,"Confectioner's curious deduction?"
SWEETEMOTION,"Aerosmith's first hit, #36 in 1975"
SWEETIEPIXIE,"Term of endearment for Tinker Bell?"
SWEETLEILANI,"S&L for Bing Crosby?"
SWEETLIBERTY,"1986 Alan Alda film"
SWEETSABLAZE,"Result of a fire at a candy shop?"
SWEETSAUSAGE,"Some links"
SWEETSIXTEEN,"Large play group"
SWEETSIXTEEN,"Tournament round"
SWEETWILLIAM,"Dulcet Tell?"
SWEETWILLIAM,"Flower with large velvety clusters"
SWIFTCURRENT,"Saskatchewan community"
SWIFTGROUSES,"Author Jonathan shows his unhappiness"
SWIFTWINTERS,"Cold seasons that fly by? (Jonathan)"
SWIMMERSJEER,"""Eat my wake!"" e.g.?"
SWIMMINGCAPP,"Dog-paddling Dogpatch drawer?"
SWIMMINGNUDE,"Skinny-dipping"
SWIMMINGPOOL,"Feature of most Y's"
SWIMMINGPOOL,"Hot-weather home adjunct"
SWIMMINGPOOL,"Water polo wagering?"
SWINECOOLERS,"Mud-wallows on the farm?"
SWINGANDMISS,"Try unsuccessfully like a major leaguer"
SWINGDANCING,"Jazz Age innovation"
SWINGDANCING,"Jazzy innovation"
SWINGINGGATE,"Golf school scandal?"
SWINGSINGLES,"45s from Count Basie and Benny Goodman?"
SWIPINGMUSIC,"Album thief's skill?"
SWISSACCOUNT,"Tale told by William Tell?"
SWISSBOOMBAH,"Cheesy cheer?"
SWISSCHARMED,"Genevans spellbound?"
SWISSCHARRED,"Burnt cheese?"
SWISSMISSION,"Geneva assignment?"
SWISSORCHARD,"Alpine apple site?"
SWITCHHITTER,"Mickey Mantle or Mark Teixeira, notably"
SWITCHHITTER,"Mickey Mantle or Pete Rose, notably"
SWITCHHITTER,"Mickey Mantle, notably"
SWITCHHITTER,"Righty and lefty"
SWITCHHITTER,"TITHER?"
SWITCHHITTER,"Versatile batter"
SWITCHSHUNTS,"Change devices that divert trains to different tracks?"
SWIVELCHAIRS,"Boardroom seating"
SWIZZLESTICK,"Cocktail implement"
SWIZZLESTICK,"Rod for highballs"
SWOLLENRIVER,"Flood threat, perhaps"
SWOOSIEKURTZ,"""Sisters"" actress"
SYNEYOUASKED,"""I wouldn't have said this, but...,"" today?"
SYNONYMTOAST,"What Roget eats every morning?"
SYNTHETICOIL,"Jet-engine lubricant"
SYNTHETICOIL,"Man-made engine lubricant (9,3)"
SYRIANDESERT,"Region bordered by the Euphrates"
SYRIASMATTER,"Damascene's concern?"
SYRUPTITIOUS,"Having a sweet taste that kind of sneaks up on you?"
SYRUPTITIOUS,"Tasting suspiciously like Log Cabin?"
SYSTEMATICAL,"Orderly"
SYSTEMCLOCKK,"The big problem is getting accordionist Kushner to stop where you get timely info (6,6?)"
TABALIGNMENT,"Word processor setting"
TABASCOSAUCE,"*Bloody Mary seasoner"
TABASCOSAUCE,"Hot stuff"
TABASCOSMOKE,"Saucy health threat, according to the surgeon general?"
TABBYSTEVENS,"Catty ""Hard Headed Woman"" singer?"
TABINTHEBACK,"Levi's trademark?"
TABLEAMOTION,"Engage in parliamentary postponement"
TABLECAPTAIN,"Person who appears to run a game (often used humorously)"
TABLEFORTUTU,"Reservation at a Johannesburg restaurant?"
TABLEHOPPING,"Being sociable in a restaurant, e.g."
TABLEMANNERS,"Post subject"
TABLEMANNERS,"What Jack Horner was bad at"
TABLEOFTENTS,"Jamboree listing?"
TABLEORBOOTH,"Restaurant options #6"
TABLEORBOOTH,"Seating choices"
TABLETHUNTER,"One who dropped a pill on the floor?"
TABLETHUNTER,"Pill seeker?"
TABLOIDPRESS,"Scandalmongers, often"
TACITSTORAGE,"Warehouse facilities kept secret?"
TACKSEVASION,"Crime committed by carpet installers?"
TACOMAHIMAHI,"Washington food fish?"
TAGGINGALONG,"*Following from place to place"
TAGREDPUZZLE,"Chinese"
TAHASTEPHENS,"Samantha's daughter"
TAHRIRSQUARE,"*Center of the 2011 Egyptian uprising"
TAIBABILONIA,"Five-time U.S. Figure Skating Championships gold medalist"
TAIBABILONIA,"Longtime skating partner of Randy Gardner"
TAILORSDUMMY,"Mannequin"
TAILORSDUMMY,"Upon reviewing the apprentice's work, the boss said, ""Truly you are a ___"""
TAILSOFSTATE,"Government bigwigs, on the flip side"
TAIPEITAIWAN,"Asian capital"
TAKEAHAIRCUT,"Be forced to write down overvalued paper assets, in investment banker slang -- as the ""Big Five"" have had to in 2008 and, figuratively, in this crossword"
TAKEALOADOFF,"Credo for a dieter or trucker"
TAKEALOADOFF,"Demand from a stevedore's boss?"
TAKEALOADOFF,"Dieter's credo?"
TAKEANEWTACK,"Dip into the box of fasteners?"
TAKEARAINBOW,"Grab a memento from ""The Wizard of Oz"" set?"
TAKEAREADING,"Check the meter"
TAKEASWIPEAT,"Aim for"
TAKEASWIPEAT,"Criticize"
TAKEDOWNAPEG,"Escort writer Bracken to the street floor?"
TAKEDOWNAPEG,"Humble"
TAKEFORASPIN,"Test drive"
TAKEFORASPIN,"Test-drive"
TAKEHOMECHEF,"Cooking show hosted by Curtis Stone"
TAKEINSTRIDE,"Gawk at a gait?"
TAKEOFFPUTON,"Pilot's joke to passengers?"
TAKEONESTIME,"Dawdle"
TAKEONESTIME,"Mosey along"
TAKEOUTMEALS,"Food to go (and instructions for this puzzle)"
TAKEPICTURES,"Play the shutterbug"
TAKESAPOWDER,"Goes on the lam"
TAKESAPOWDER,"Splits"
TAKESATURNAT,"Plays"
TAKESATURNAT,"Tries"
TAKESBYSTORM,"Captivates completely"
TAKESMINUTES,"Does a secretary's job"
TAKESTHECAKE,"Surpasses all others"
TAKESTHECONN,"Assumes responsibility for steering a ship"
TAKETHEFLOOR,"Address, as with a speech"
TAKETHEFLOOR,"Begin lecturing"
TAKETHEFLOOR,"Begin lecturing, perhaps"
TAKETHEFLOOR,"Give a speech"
TAKETHESTAND,"Buy a Stephen King novel?"
TAKETHESTAND,"Seek justice, in a way"
TAKETHETRAIN,"Railroad's generous offer?"
TAKEYOURTIME,"""Slow down!"""
TAKINGABREAK,"Resting, like a dancer?"
TAKINGWAGERS,"Book work?"
TALCUMPOWDER,"After-bath application"
TALEFEATHERS,"Quills for Chaucer?"
TALENTSEARCH,"Audition, e.g."
TALENTSEARCH,"Tinseltown agent's activity"
TALKFTHETOWN,"Latest buzz"
TALKINGAHEAD,"Speaking out of turn?"
TALKINGHEADS,"""Wild Wild Life"" band"
TALKINGHEADS,"... The Vague Dots"
TALKINGHEADS,"Commentators, slangily"
TALKINGHEADS,"The Fair's version of information booths?"
TALKINGHEDDA,"Gossip columnist Hopper, while spilling the beans?"
TALKINGSMACK,"Bad-mouthing someone"
TALKINGSMACK,"Trying to faze one's opponent, perhaps"
TALKINGSMACK,"Using insulting language"
TALKINGTAILS,"""Burning Down the House"" band, on the flip side"
TALKINGTRASH,"Engaging in gamesmanship, in a way"
TALKINGTREAD,"Having a debate about tires?"
TALKSHOWHOST,"Emcee on a screen"
TALKSHOWHOST,"Roseanne or Rosie"
TALKSINOTHER,"Part 4 of the comment"
TALLERTELLER,"Higher-up money handler?"
TALLESTPILOT,"Star of United's basketball team?"
TALUSABOUTIT,"""What's the story?"" to a bone specialist?"
TALUSABOUTIT,"Request for bone info?"
TAMARAKNIGHT,"Girlfriend who has a hot date?"
TAMARAKNIGHT,"Girlfriend who's going out soon?"
TAMARBRAXTON,"Toni's singing sister"
TAMMYSHANTER,"Cap-wearing Glasgow girl?"
TAMMYSHANTER,"Glasgow girl?"
TAMMYWYNETTE,"She married a George in 1969"
TAMOSHANTERS,"Caps"
TAMPABAYBUCK,"West Florida currency?"
TAMPAFLORIDA,"City that's home to the NFL's Buccaneers"
TAMPEREDWITH,"Improperly altered"
TANGLEDROOTS,"TORSO"
TANGOANDCASH,"Kurt Russell film"
TANGODANCING,"Tonga?"
TANGODYNASTY,"Long line of Latin dancers?"
TANKLESSTASK,"Snorkeling?"
TANLINEJUDGE,"One who evaluates bodies back from the beach?"
TANNINGBOOTH,"Sunless site to get a sunkissed look"
TANNINGSALON,"Colorful place?"
TANQUERAYGIN,"Liquor with fictional spokesperson Tony Sinclair"
TAPDANCERBUT,"Part 2 of the quip"
TAPERECORDER,"Device used in some interviews"
TAPERECORDER,"It's played to fool people into thinking that someone's talking in a room"
TAPRECORDERS,"Water logs?"
TARALIPINSKI,"1998 Olympic gold medalist"
TARALIPINSKI,"1998 Olympic gold medalist in figure skating"
TARALIPINSKI,"1998 Olympic skating gold medalist"
TARALIPINSKI,"Gold Medallist of US one-two finish"
TARGETTHEHIT,"Picket a popular show?"
TARHEELSTATE,"North Carolina"
TARHEELSTATE,"North Carolina's nickname"
TAROTAROTARO,"Movie epic that's probably more than you ever wanted to know about poi?"
TARPASASHACK,"Shelter advice for a homeless person?"
TARTARTARGET,"Teeth, when neglected?"
TARZANYELLOW,"Apeman's favorite color?"
TASTEDDEFEAT,"Suffered a loss"
TASTEDDEFEAT,"Swallowed a loss?"
TATTERARTIST,"Creative user of worn-out clothes?"
TATTEREDLADY,"Baroness in rags?"
TATTLETALRAY,"What Fels-Naptha banished, in old ads"
TATTOOEDLADY,"Lydia, in an old song"
TATTOOPARLOR,"Drummer's favorite art shop?"
TATTOOPARLOR,"Place to get some body art"
TAUGHTACLASS,"Had pupils, perhaps"
TAURUSDOZERS,"Earth-moving equipment?"
TAXATIONWITH,"Start of an unhappy truth"
TAXATIONWITH,"The beginning of the thought"
TAXCOLLECTOR,"Person who takes what you owe"
TAXCOLLECTOR,"ROBERT BURNS"
TAXDEDUCTION,"Home mortgage interest, e.g."
TAXIDERMISTS,"Skin game adepts?"
TAXISTANDARD,"40¢ per fifth of a mile, in New York City?"
TAXQUALIFIED,"Like some retirement accounts"
TAYLORHANSON,"Middle brother in a pop trio"
TBILISIBROWN,"A capital English stage actress?"
TBIRDWATCHER,"One who observes a Ford?"
TBONECRUSHER,"Strong-jawed dog, at times?"
TBOONESTEAKS,"Entrees for oilman Pickens?"
TDWATERHOUSE,"*Discount brokerage formed in 1996"
TDWATERHOUSE,"Discount brokerage firm bought by Ameritrade in 2005"
TEACHERSPELT,"Classroom fur?"
TEACHERSPETS,"Certain favorites"
TEACHERSPETS,"School favorites"
TEACHERSPOET,"Classroom rhyme reciter?"
TEAKAUPOIVRE,"Shipbuilder's entrée?"
TEAMPENNANTS,"Wall decorations for some sports fans"
TEAMROOSTERS,"South Carolina Gamecocks?"
TEAMTEACHING,"Coach's job description?"
TEAROFFSHEET,"Detachable form"
TEASPOONFULS,"Recipe measures"
TEAWITHLEMON,"{I}Spot with a twist"
TECHNICALITY,"Specialist's point"
TEDWASWASTED,"Nugent partied too hard?"
TEEMUSELANNE,"Winner of the inaugural Maurice Richard Trophy"
TEENAGECRUSH,"High school infatuation"
TEENAGECRUSH,"Young puppy love"
TEENSYWEENSY,"Small, in baby talk"
TEETERINGRAM,"RENE MAGRITTE's sheep on a cliff's edge?"
TEETERTARTAR,"Saucy playground apparatus?"
TEETERTOTTER,"Balance beam?"
TEETERTOTTER,"Playground fixture"
TEETERTOTTER,"Playground piece"
TEETERTOTTER,"Seesaw"
TEETERTOTTER,"Seesaw (and the longest common word that uses just the top typewriter row)"
TEETHINGRING,"Toddler's soother for sore gums"
TELECOMMUTED,"Worked wearing pajamas, maybe"
TELEGRAPHKEY,"Way into the bathroom at a Macon newspaper?"
TELEMARKETER,"Professional talker"
TELEMARKETER,"iPhone"
TELEPHONETAG,"Answering machine ""game"""
TELEPHONETAG,"Part of the wrapping of a gift from Nokia?"
TELEPHONETAG,"Series of unsuccessful attempts to connect"
TELEPHONETAG,"Voice mail game"
TELEPROMPTER,"Mnemonic aid for TV announcers"
TELEPROMPTER,"TV speaker's aid"
TELEVISIONBY,"Part 6 of quote"
TELLAWHOPPER,"Cash carrier (spelled backward) + Kangaroo = ?"
TELLINGAFISH,"Part 2 of quip"
TELLMEASTORY,"Bedtime request"
TELLYSAVALAS,"""Kojak"" star"
TELLYSAVALAS,"Actor b. 1/21/24"
TELLYSAVALAS,"Answer to 19A"
TELLYSAVALAS,"Kojak portrayer"
TEMPEARIZONA,"City just east of Phoenix"
TEMPERAMENTS,"Arizona city in dispositions"
TEMPEREDHEEL,"Cad on his best behavior?"
TEMPESTFUGIT,"Storms don't linger?"
TEMPESTFUGIT,"Weatherman's comment about a storm's speed?"
TEMPLEOFZOOS,"Shrine to wild animal parks?"
TEMPORALLOBE,"Part of the brain associated with memory"
TEMPORARYCON,"Overnight jailbird?"
TEMPTINGFATE,"Doing something dangerous"
TEMPTINGFOYT,"Challenging A.J. to a race?"
TENANTFARMER,"Struggling rural worker"
TENANTFRAMER,"Evil landlord who concocts false evidence to cover his crimes?"
TENCENTSTORE,"Former retail establishment"
TENCENTSTORE,"Relic of the good old days"
TENCYLINDERS,"Contents of some engines"
TENDERCARESS,"Sign of affection"
TENDERMERCIS,"Film about a grateful Frenchman?"
TENDERVITALS,"Easily damaged major organs?"
TENDTHEPHLOX,"Do a gardener's chore?"
TENDTOEXCESS,"Mother too much?"
TENFEETAPART,"Part 3 of the quip"
TENGALLONHAT,"Cowboy's lid"
TENGALLONHAT,"Cowboy's topper"
TENGALLONHAT,"It tops a cowboy?"
TENGALLONHAT,"Portable shade?"
TENGALLONHAT,"Ranch hand's wear"
TENGALLONHAT,"Western topper"
TENINCHNAILS,"Bigger band that covered ""Happiness in Slavery""?"
TENMINUSFOUR,"6"
TENNESSEETAN,"What a Volunteer State NFLer can get in the sun?"
TENNISANYONE,"Court invitation"
TENNISANYONE,"Question that often results in a court battle"
TENNISCHAISE,"Reclining seat at Wimbledon?"
TENNISLESSON,"Court session"
TENNISPLAYER,"New position for Ann Priestley"
TENNISPLAYER,"Serviceman?"
TENNISRACKET,"Business that runs shady matches?"
TENNISRACKET,"Grunts from a server?"
TENNISRACKET,"It's swung at Wimbledon"
TENNISRACKET,"Tool for Borg"
TENNISRACKET,"Wimbledon pro shop career?"
TENNISSANDAL,"Casual court shoe (4-9)"
TENNISSHOPPE,"Quaint place to buy balls?"
TENNYSONGOLF,"Sports to wax lyrical over?"
TENPERCENTER,"Agent taking a cut"
TENPERCENTER,"Agent: Colloq."
TENPERCENTER,"Many an agent"
TENQUESTIONS,"GUESSING GAME"
TENSHEADACHE,"What Nadia Comaneci gave her Olympic opponents?"
TENSIDEDDICE,"D&D game pieces"
TENSIONCORDS,"Pants under stress?"
TENTPITCHING,"Camper's activity"
TEQUILASHOTS,"Big drinking night, stop #2 (southwestern bar)"
TERALIPINSKI,"One trillion figure skaters?"
TERENCESTAMP,"""...starring ___..."""
TERENCESTAMP,"""Billy Budd"" Oscar nominee"
TERENCESTAMP,"""The Collector"" star"
TERENCESTAMP,"""The Limey"" star"
TERESABREWER,"'Till I Waltz Again With You' singer"
TERNBALDNESS,"Avian alopecia?"
TERNOFEVENTS,"News show that's for the birds?"
TERRESTRIALS,"Earthlings"
TERRIBLETWOS,"""No"" time for children"
TERRIBLETWOS,"Hated bills (that appropriately spoil this puzzle's symmetry)?"
TERRIBLETWOS,"Tot's phase"
TERRIBLETWOS,"Tough behavioral stage for toddlers"
TERRIBLETWOS,"Tough preschool age"
TERRIERBREED,"JACK RUSSELL"
TERRYSAWCHUK,"Goalie with the most lifetime regular season shutouts"
TESTEDKNIGHT,"Sir Lancelot, proven in battle?"
TESTERSSHOUT,"See circles"
TESTINGROUND,"Cycle of quizzes?"
TESTLABGLOSS,"Don't mix your GLASS BOTTLES with the garbage; recycle them into ___, ideal for brightening up the room where you experiment"
TESTOSTERONE,"What anabolic steroids mimic"
TESTTUBEBABY,"Conception breakthrough of the 1970s"
TETHERJERKER,"Person with poor leash control?"
TETOFFENSIVE,"It disproved U.S. government claims that the Vietnam War was virtually over"
TETRISPIECES,"Set of which all seven elements are fittingly hidden in solved puzzle grid"
TEXASLEAGUER,"Ball that falls between an infielder and an outfielder"
TEXASRANGERS,"Certain mounted police"
TEXASRANGERS,"Fix the marquee that says ""A STRANGER SEX"""
TEXASRINGERS,"Baseball team made up of impostors?"
TEXTMESSAGES,"They're typed on a cell phone"
THAIFOODMARY,"World's worst Asian cook?"
THAILANGUAGE,"Laotian or Cambodian vernacular"
THANKSALATTE,"""I appreciate it!"" with respect to 58-A"
THANKSGIVING,"... KSG..."
THANKSGIVING,"Fall holiday"
THANKSGIVING,"National day of gratitude, first observed by the Pilgrims in 1621"
THANKSGIVING,"Time to celebrate the Pilgrims' harvest"
THANKYOUMAAM,"Road bump"
THANKYOUMAAM,"Speed bump of sorts"
THANKYOUNOTE,"Expression of appreciation"
THANTHESWORD,"Part 3 of the quip"
THARSHEBLOWS,"Sailor's ""Whale ho!"""
THATBREAKSUS,"End of the quotation"
THATDARINCAT,"Film about ""Mack the Knife"" singer, as told by a jazz fan?"
THATFEATURES,"Riddle, part 4"
THATHITSTHEX,"Comment about a cold drink on a hot day"
THATINFERNAL,"Exchange, Part 3"
THATONEOFTHE,"Quip, Part 3"
THATPOLITICS,"Part 3 of the quip"
THATSANEGATI,"Turndown #6"
THATSANORDER,"Power line?"
THATSASWITCH,"""I told the cops a dame got the better of me. One of them said,'___'..."""
THATSHOLDING,"More of quote"
THATSMYCUBER,"Proud parent's comment when Junior calculates 2 x 2 x 2?"
THATSNOTFAIR,"""Hey, you cheated!"""
THATSNOTTRUE,"""It's a lie!"""
THATSONEONME,"Possible response to ""Gotcha!"""
THATSSHOWBIZ,"Entertainment industry exclamation"
THATSSHOWBIZ,"Theater catchphrase"
THATWASCLOSE,"""Glenn just went by,"" in other words?"
THATWILLLEND,"Part 2 of the quip"
THEACADEMYIS,"Collegiate Chicago band?"
THEAFRIQUEEN,"Bogart classic"
THEALEUTIANS,"... I'd send magicians to ___"
THEANDERSONS,"Jim, Margaret, Betty, Bud and Kathy"
THEANIMALSIN,"Riddle, part 2"
THEAPARTMENT,"(A ten P.M. threat)"
THEAPARTMENT,"1960 Jack Lemmon/Shirley MacLaine romantic comedy"
THEAPARTMENT,"AND MOVED INTO___"
THEAPARTMENT,"Best Picture, 1960"
THEAPARTMENT,"Oscar winner, 1960"
THEARMADAINN,"Favorite stopover of Spanish sailors?"
THEATERAWARD,"RANDALL"
THEATRICALQQ,"Stage signals"
THEBACHELORS,"""Marie"" singers"
THEBAGOFPIGS,"Historic sack left on a beach in Cuba?"
THEBANHAMMER,"It occasionally comes down on internet trolls"
THEBEACHBOYS,"""Fun, Fun, Fun"" singers (and this puzzle's theme)"
THEBEACHBOYS,"... Carl And The Passions"
THEBEACHBOYS,"1988 inductees into the Rock and Roll Hall of Fame"
THEBEACHBOYS,"They had a hit with the folk song ""Sloop John B"""
THEBEESKNEES,"Lulu"
THEBEESKNEES,"Something wonderful, in old slang"
THEBEESKNEES,"Wonderful thing, in older slang"
THEBESLIKEUS,"'74 Altman film"
THEBESTPLACE,"Start of a quip"
THEBESTWAYTO,"Start of a bit of advice"
THEBESTWAYTO,"Start of a quotation"
THEBIGBANGLE,"Oversized piece of jewelry?"
THEBIGBOPPER,"His last concert was at the Surf Ballroom in Clear Lake, Iowa (1959)"
THEBIGTIPPER,"Vice President's wife at the Starlight Diner?"
THEBITTEREND,"Difficult finale, colloquially"
THEBLACKSWAN,"Tyrone Power adventure film"
THEBLUEANGEL,"Dietrich film"
THEBLUETSEYE,"Toni Morrison novel about a flower's center?"
THEBNICWOMAN,"'70s series that ran two seasons on ABC and one season on NBC"
THEBOOKERWAR,"Talent hirers' conflict?"
THEBOONDOCKS,"Hicksville"
THEBORNLOSER,"Long-running Art and Chip Sansom comic strip"
THEBRAINISNO,"Start of a quip"
THEBRIDESMAD,"Not-so-good news for a groom?"
THEBRIDESMAD,"Not-so-good news for a groom? (I)"
THEBRIGSLEEP,"Slumber on a two-master?"
THEBRINKSJOB,"1978 North End crime flick"
THEBUGBOPPER,"Fly swatter?"
THECAMERAEYE,"Rush song off ""Moving Pictures"" that goes 10 minutes, 58 seconds"
THECANMUTINY,"Revolt at the recycling center?"
THECANOESANK,"Part 5 of the joke"
THECAROLINAS,"Neighboring states"
THECHIEFHASA,"Quote, part 2"
THECHIHUAHUA,"Which one is Ren?"
THECHIPMONKS,"Alvin, Theodore, and Fra Lippo?"
THECHISHOLMT,"Cattle drive route, once"
THECLAYSQUAB,"1949 Bill Williams ""chick flick""?"
THECLOISTERS,"Dancing Scottish reel in Gotham museum (3,9)"
THECODFATHER,"Film about fish paternity?"
THECODFATHER,"Fishy Brando movie?"
THECODFATHER,"Fishy novel?"
THECOKEBEARS,"Cola ad critters?"
THECOLLECTOR,"""And at 7 P.M. there'll be a showing of the 60's film ___..."""
THECONEHEADS,"""SNL"" characters"
THECOSBYSHOW,"1984–92 sitcom set in Brooklyn"
THEDAILYBALE,"Barnyard delivery?"
THEDAINCURSE,"1929 Hammett novel"
THEDALAILAMA,"""[He] is never happier than when brooding... on the sex lives of people he has never met.""--1989"
THEDALEYSHOW,"Program about Chicago's mayor?"
THEDATINGGAM,"One that goes out with a limb?"
THEDAYISDONE,"Longfellow poem featuring the line 'Such songs have power to quiet / The restless pulse of care'"
THEDAYSOFTHE,"Start of quote"
THEDEARLITER,"Affectionate term for a soda bottle?"
THEDEATHFROG,"Film featuring the line 'I'm gonna (ribbit) give him an offer he can't refuse (ribbit)'?"
